Obs:  0 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 258 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 259 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 
Obs: 260 (Streaming): Kernel Linear->Streaming  | Kernel RBF->Streaming  | Kernel Poly->Streaming 

Linear True Positives: 239 | False Positives: 22
Linear Precision: 91.5709

RBF True Positives: 157 | False Positives: 104
RBF Precision: 60.1533

Poly True Positives: 80 | False Positives: 181
Poly Precision: 30.6513
